product_id,name,category,material,color,style,price,rating,description
94,Modern Table,Table,Fabric,Brown,Modern,22242.65,3.4,Modern Brown Fabric Table
95,Contemporary Bed,Bed,Fabric,White,Industrial,48308.21,3.2,Industrial White Fabric Bed
96,Minimalist Wardrobe,Wardrobe,Fabric,Brown,Industrial,14151.38,4.6,Industrial Brown Fabric Wardrobe
97,Vintage Sofa,Sofa,Fabric,White,Minimalist,28922.63,4.2,Minimalist White Fabric Sofa
98,Modern Table,Table,Fabric,Grey,Contemporary,24889.95,3.4,Contemporary Grey Fabric Table
99,Vintage Table,Table,Glass,Beige,Vintage,28233.76,3.8,Vintage Beige Glass Table
100,Modern Chair,Chair,Metal,Blue,Minimalist,24940.31,4.4,Minimalist Blue Metal Chair
101,Minimalist Bed,Bed,Fabric,Black,Modern,15417.54,3.5,Modern Black Fabric Bed
102,Vintage Chair,Chair,Leather,Grey,Minimalist,28120.17,3.4,Minimalist Grey Leather Chair
103,Vintage Wardrobe,Wardrobe,Glass,Blue,Minimalist,14274.9,3.1,Minimalist Blue Glass Wardrobe
104,Contemporary Sofa,Sofa,Glass,Black,Industrial,47593.0,4.2,Industrial Black Glass Sofa
105,Contemporary Chair,Chair,Fabric,Grey,Industrial,48853.74,3.8,Industrial Grey Fabric Chair
106,Modern Table,Table,Metal,Grey,Contemporary,18683.17,3.3,Contemporary Grey Metal Table
107,Contemporary Wardrobe,Wardrobe,Glass,Black,Modern,28114.59,4.2,Modern Black Glass Wardrobe
108,Minimalist Chair,Chair,Wood,Black,Industrial,14932.63,3.7,Industrial Black Wood Chair
109,Contemporary Table,Table,Wood,Grey,Minimalist,6590.27,2.7,Minimalist Grey Wood Table
110,Modern Bed,Bed,Leather,Blue,Modern,8434.62,4.5,Modern Blue Leather Bed
111,Modern Table,Table,Metal,Black,Industrial,38457.73,4.0,Industrial Black Metal Table
112,Contemporary Wardrobe,Wardrobe,Leather,Brown,Minimalist,45516.71,3.2,Minimalist Brown Leather Wardrobe
113,Minimalist Wardrobe,Wardrobe,Glass,Beige,Industrial,3951.28,4.9,Industrial Beige Glass Wardrobe
114,Contemporary Sofa,Sofa,Metal,Grey,Modern,8695.8,2.9,Modern Grey Metal Sofa
115,Contemporary Sofa,Sofa,Wood,Brown,Minimalist,34779.19,3.7,Minimalist Brown Wood Sofa
116,Contemporary Sofa,Sofa,Glass,Blue,Vintage,35446.39,3.6,Vintage Blue Glass Sofa
117,Vintage Chair,Chair,Leather,Blue,Contemporary,21831.81,3.9,Contemporary Blue Leather Chair
118,Vintage Chair,Chair,Metal,Black,Modern,9130.22,3.3,Modern Black Metal Chair
119,Vintage Wardrobe,Wardrobe,Fabric,Black,Minimalist,34745.22,4.2,Minimalist Black Fabric Wardrobe
120,Industrial Table,Table,Leather,Brown,Minimalist,4941.65,2.6,Minimalist Brown Leather Table
121,Vintage Bed,Bed,Leather,Grey,Modern,5475.02,4.9,Modern Grey Leather Bed
122,Industrial Wardrobe,Wardrobe,Wood,Blue,Vintage,29236.1,4.4,Vintage Blue Wood Wardrobe
123,Minimalist Chair,Chair,Leather,Blue,Minimalist,45887.57,3.0,Minimalist Blue Leather Chair
124,Minimalist Wardrobe,Wardrobe,Fabric,Black,Minimalist,18050.09,3.3,Minimalist Black Fabric Wardrobe
125,Contemporary Sofa,Sofa,Glass,Brown,Minimalist,15122.67,4.9,Minimalist Brown Glass Sofa
126,Modern Wardrobe,Wardrobe,Fabric,Black,Vintage,13367.54,2.8,Vintage Black Fabric Wardrobe
127,Industrial Bed,Bed,Wood,Blue,Industrial,23636.84,2.6,Industrial Blue Wood Bed
128,Vintage Wardrobe,Wardrobe,Leather,Brown,Minimalist,38239.54,3.0,Minimalist Brown Leather Wardrobe
129,Contemporary Wardrobe,Wardrobe,Glass,Brown,Minimalist,6949.88,4.9,Minimalist Brown Glass Wardrobe
130,Contemporary Wardrobe,Wardrobe,Metal,Grey,Industrial,1670.05,3.5,Industrial Grey Metal Wardrobe
131,Modern Chair,Chair,Fabric,Black,Contemporary,25420.4,4.3,Contemporary Black Fabric Chair
132,Vintage Wardrobe,Wardrobe,Fabric,Brown,Minimalist,12942.81,3.9,Minimalist Brown Fabric Wardrobe
133,Contemporary Bed,Bed,Leather,Beige,Contemporary,43337.32,3.2,Contemporary Beige Leather Bed
134,Vintage Bed,Bed,Leather,Grey,Modern,14859.11,3.2,Modern Grey Leather Bed
135,Industrial Wardrobe,Wardrobe,Fabric,White,Minimalist,27390.45,3.4,Minimalist White Fabric Wardrobe
136,Industrial Wardrobe,Wardrobe,Fabric,Brown,Vintage,43610.48,5.0,Vintage Brown Fabric Wardrobe
137,Industrial Chair,Chair,Fabric,White,Minimalist,3138.72,4.4,Minimalist White Fabric Chair
138,Minimalist Bed,Bed,Metal,Brown,Modern,7186.07,4.9,Modern Brown Metal Bed
139,Modern Table,Table,Fabric,Black,Industrial,45611.64,2.5,Industrial Black Fabric Table
140,Minimalist Chair,Chair,Metal,Black,Minimalist,39294.74,3.2,Minimalist Black Metal Chair
141,Minimalist Wardrobe,Wardrobe,Wood,Grey,Industrial,19620.46,3.3,Industrial Grey Wood Wardrobe
142,Industrial Bed,Bed,Wood,Beige,Modern,12503.74,4.2,Modern Beige Wood Bed
143,Contemporary Table,Table,Wood,Brown,Modern,38258.11,4.3,Modern Brown Wood Table
144,Minimalist Sofa,Sofa,Metal,Blue,Vintage,45267.78,2.6,Vintage Blue Metal Sofa
145,Vintage Sofa,Sofa,Glass,Grey,Minimalist,8132.92,3.8,Minimalist Grey Glass Sofa
146,Contemporary Wardrobe,Wardrobe,Metal,White,Modern,30865.1,3.5,Modern White Metal Wardrobe
147,Minimalist Chair,Chair,Leather,White,Contemporary,23596.35,3.1,Contemporary White Leather Chair
148,Modern Table,Table,Fabric,Grey,Industrial,8740.81,3.6,Industrial Grey Fabric Table
149,Industrial Table,Table,Glass,Blue,Minimalist,34825.36,3.6,Minimalist Blue Glass Table
150,Contemporary Table,Table,Fabric,Brown,Modern,12623.08,3.9,Modern Brown Fabric Table
151,Vintage Wardrobe,Wardrobe,Glass,Black,Minimalist,14449.54,3.9,Minimalist Black Glass Wardrobe
152,Industrial Sofa,Sofa,Fabric,Grey,Contemporary,30746.18,3.4,Contemporary Grey Fabric Sofa
153,Industrial Chair,Chair,Glass,Blue,Contemporary,31784.16,4.8,Contemporary Blue Glass Chair
154,Vintage Sofa,Sofa,Fabric,Black,Industrial,18878.2,2.8,Industrial Black Fabric Sofa
155,Vintage Table,Table,Fabric,White,Contemporary,7475.83,3.8,Contemporary White Fabric Table
156,Industrial Table,Table,Leather,Grey,Contemporary,13591.53,4.6,Contemporary Grey Leather Table
157,Vintage Bed,Bed,Glass,Black,Minimalist,48181.77,2.9,Minimalist Black Glass Bed
158,Minimalist Chair,Chair,Leather,Grey,Modern,39743.42,2.5,Modern Grey Leather Chair
159,Modern Wardrobe,Wardrobe,Fabric,Grey,Vintage,29643.44,4.6,Vintage Grey Fabric Wardrobe
160,Modern Table,Table,Metal,Brown,Modern,31357.8,4.9,Modern Brown Metal Table
161,Industrial Table,Table,Metal,Blue,Modern,32134.79,3.7,Modern Blue Metal Table
162,Minimalist Table,Table,Wood,White,Modern,47366.82,3.3,Modern White Wood Table
163,Modern Bed,Bed,Wood,White,Industrial,7647.54,3.6,Industrial White Wood Bed
164,Minimalist Wardrobe,Wardrobe,Leather,Blue,Contemporary,44385.28,4.1,Contemporary Blue Leather Wardrobe
165,Industrial Bed,Bed,Fabric,Grey,Modern,34823.75,3.0,Modern Grey Fabric Bed
166,Contemporary Bed,Bed,Glass,Black,Vintage,27678.83,4.9,Vintage Black Glass Bed
167,Modern Table,Table,Fabric,Grey,Contemporary,48442.14,4.9,Contemporary Grey Fabric Table
168,Modern Bed,Bed,Metal,Blue,Industrial,48583.57,2.6,Industrial Blue Metal Bed
169,Contemporary Table,Table,Metal,Beige,Contemporary,4361.9,4.4,Contemporary Beige Metal Table
170,Industrial Chair,Chair,Metal,White,Vintage,38944.06,4.5,Vintage White Metal Chair
171,Modern Wardrobe,Wardrobe,Glass,White,Contemporary,27470.56,4.5,Contemporary White Glass Wardrobe
172,Modern Sofa,Sofa,Metal,Black,Vintage,39709.25,3.1,Vintage Black Metal Sofa
173,Modern Table,Table,Metal,Grey,Modern,7211.17,3.6,Modern Grey Metal Table
174,Modern Sofa,Sofa,Fabric,Brown,Vintage,26148.66,2.8,Vintage Brown Fabric Sofa
175,Contemporary Wardrobe,Wardrobe,Leather,Black,Industrial,15779.89,4.1,Industrial Black Leather Wardrobe
176,Modern Sofa,Sofa,Fabric,Brown,Minimalist,34618.78,3.7,Minimalist Brown Fabric Sofa
177,Modern Bed,Bed,Wood,Grey,Industrial,8268.36,2.8,Industrial Grey Wood Bed
178,Industrial Wardrobe,Wardrobe,Leather,Blue,Vintage,19664.32,4.0,Vintage Blue Leather Wardrobe
179,Minimalist Table,Table,Leather,Beige,Minimalist,5859.74,4.3,Minimalist Beige Leather Table
180,Contemporary Wardrobe,Wardrobe,Fabric,Brown,Contemporary,21276.86,4.6,Contemporary Brown Fabric Wardrobe
181,Minimalist Bed,Bed,Wood,Grey,Minimalist,16313.65,3.1,Minimalist Grey Wood Bed
182,Minimalist Chair,Chair,Wood,Black,Modern,5568.27,2.7,Modern Black Wood Chair
183,Contemporary Table,Table,Leather,Black,Industrial,47874.61,3.9,Industrial Black Leather Table
184,Minimalist Sofa,Sofa,Glass,Blue,Minimalist,43536.52,4.3,Minimalist Blue Glass Sofa
185,Industrial Table,Table,Glass,Grey,Modern,29318.01,3.0,Modern Grey Glass Table
186,Contemporary Bed,Bed,Wood,Grey,Industrial,19010.49,4.4,Industrial Grey Wood Bed
187,Contemporary Wardrobe,Wardrobe,Fabric,Beige,Industrial,31065.09,4.1,Industrial Beige Fabric Wardrobe
188,Industrial Sofa,Sofa,Glass,Black,Contemporary,14390.25,4.4,Contemporary Black Glass Sofa
189,Vintage Table,Table,Wood,White,Contemporary,28749.73,3.5,Contemporary White Wood Table
190,Modern Chair,Chair,Wood,Blue,Industrial,11541.51,3.5,Industrial Blue Wood Chair
191,Contemporary Table,Table,Glass,Grey,Vintage,39064.95,3.9,Vintage Grey Glass Table
192,Modern Sofa,Sofa,Metal,White,Industrial,3438.36,2.7,Industrial White Metal Sofa
193,Minimalist Bed,Bed,Fabric,Beige,Minimalist,21295.0,3.0,Minimalist Beige Fabric Bed
194,Modern Wardrobe,Wardrobe,Glass,Brown,Modern,14879.08,4.2,Modern Brown Glass Wardrobe
195,Industrial Bed,Bed,Glass,Black,Contemporary,20367.91,4.0,Contemporary Black Glass Bed
196,Contemporary Sofa,Sofa,Glass,White,Contemporary,38443.88,3.2,Contemporary White Glass Sofa
197,Modern Sofa,Sofa,Fabric,Blue,Minimalist,9609.05,3.5,Minimalist Blue Fabric Sofa
198,Industrial Chair,Chair,Leather,Blue,Vintage,4531.7,4.7,Vintage Blue Leather Chair
199,Minimalist Sofa,Sofa,Wood,Brown,Modern,43243.39,3.9,Modern Brown Wood Sofa
200,Minimalist Wardrobe,Wardrobe,Fabric,Grey,Modern,20846.58,4.9,Modern Grey Fabric Wardrobe
201,Industrial Chair,Chair,Fabric,Blue,Vintage,5318.36,4.6,Vintage Blue Fabric Chair
202,Minimalist Chair,Chair,Leather,Brown,Industrial,4853.71,4.7,Industrial Brown Leather Chair
203,Contemporary Table,Table,Glass,White,Modern,26013.68,2.8,Modern White Glass Table
204,Contemporary Wardrobe,Wardrobe,Glass,Grey,Contemporary,12577.17,2.9,Contemporary Grey Glass Wardrobe
205,Contemporary Chair,Chair,Leather,White,Modern,9680.16,4.4,Modern White Leather Chair
206,Minimalist Bed,Bed,Leather,Beige,Minimalist,34375.54,4.7,Minimalist Beige Leather Bed
207,Vintage Wardrobe,Wardrobe,Glass,White,Minimalist,4346.03,3.6,Minimalist White Glass Wardrobe
208,Vintage Table,Table,Leather,Black,Vintage,25859.51,3.3,Vintage Black Leather Table
209,Modern Bed,Bed,Wood,Grey,Vintage,4759.82,4.7,Vintage Grey Wood Bed
210,Industrial Sofa,Sofa,Leather,Beige,Minimalist,23672.87,3.9,Minimalist Beige Leather Sofa
211,Minimalist Sofa,Sofa,Leather,Blue,Contemporary,16754.81,3.7,Contemporary Blue Leather Sofa
212,Modern Chair,Chair,Fabric,Black,Vintage,49136.89,2.7,Vintage Black Fabric Chair
213,Modern Chair,Chair,Metal,Blue,Minimalist,49558.32,3.8,Minimalist Blue Metal Chair
214,Contemporary Wardrobe,Wardrobe,Glass,Grey,Vintage,19983.41,4.4,Vintage Grey Glass Wardrobe
215,Modern Wardrobe,Wardrobe,Glass,Black,Vintage,5630.79,4.2,Vintage Black Glass Wardrobe
216,Vintage Table,Table,Leather,White,Vintage,4993.6,4.2,Vintage White Leather Table
217,Vintage Table,Table,Fabric,White,Industrial,35732.87,2.7,Industrial White Fabric Table
218,Minimalist Wardrobe,Wardrobe,Glass,White,Industrial,5579.2,4.2,Industrial White Glass Wardrobe
219,Vintage Wardrobe,Wardrobe,Wood,Grey,Vintage,9832.88,3.0,Vintage Grey Wood Wardrobe
220,Contemporary Bed,Bed,Metal,White,Contemporary,4781.09,4.6,Contemporary White Metal Bed
221,Industrial Sofa,Sofa,Leather,Blue,Industrial,2849.63,3.3,Industrial Blue Leather Sofa
222,Contemporary Wardrobe,Wardrobe,Leather,Brown,Contemporary,8950.11,4.6,Contemporary Brown Leather Wardrobe
223,Contemporary Wardrobe,Wardrobe,Fabric,Black,Minimalist,18850.67,4.3,Minimalist Black Fabric Wardrobe
224,Industrial Bed,Bed,Glass,Blue,Minimalist,12466.14,3.1,Minimalist Blue Glass Bed
225,Contemporary Bed,Bed,Glass,Blue,Industrial,49237.55,3.7,Industrial Blue Glass Bed
226,Minimalist Table,Table,Leather,Beige,Minimalist,48347.14,4.5,Minimalist Beige Leather Table
227,Contemporary Wardrobe,Wardrobe,Glass,Black,Minimalist,43831.73,3.9,Minimalist Black Glass Wardrobe
228,Industrial Sofa,Sofa,Wood,Grey,Modern,38392.72,3.2,Modern Grey Wood Sofa
229,Contemporary Wardrobe,Wardrobe,Fabric,Black,Contemporary,41018.46,4.7,Contemporary Black Fabric Wardrobe
230,Minimalist Sofa,Sofa,Wood,Brown,Industrial,19324.11,3.5,Industrial Brown Wood Sofa
231,Vintage Sofa,Sofa,Metal,Black,Vintage,46610.47,4.6,Vintage Black Metal Sofa
232,Contemporary Table,Table,Metal,Black,Vintage,45952.41,3.7,Vintage Black Metal Table
233,Minimalist Chair,Chair,Fabric,Beige,Modern,45387.02,2.5,Modern Beige Fabric Chair
234,Contemporary Chair,Chair,Leather,Blue,Industrial,26860.8,2.8,Industrial Blue Leather Chair
235,Contemporary Table,Table,Glass,Black,Modern,12683.54,4.1,Modern Black Glass Table
236,Minimalist Wardrobe,Wardrobe,Wood,Black,Minimalist,30240.21,2.5,Minimalist Black Wood Wardrobe
237,Industrial Wardrobe,Wardrobe,Metal,Blue,Contemporary,15272.33,2.5,Contemporary Blue Metal Wardrobe
238,Contemporary Table,Table,Leather,Brown,Contemporary,33554.19,2.7,Contemporary Brown Leather Table
239,Modern Table,Table,Leather,Beige,Industrial,39534.2,3.8,Industrial Beige Leather Table
240,Minimalist Sofa,Sofa,Fabric,Black,Minimalist,49070.93,3.1,Minimalist Black Fabric Sofa
241,Vintage Sofa,Sofa,Wood,Grey,Contemporary,36914.11,4.1,Contemporary Grey Wood Sofa
242,Vintage Wardrobe,Wardrobe,Metal,Black,Vintage,27754.67,4.5,Vintage Black Metal Wardrobe
243,Minimalist Chair,Chair,Fabric,Blue,Contemporary,40763.39,2.7,Contemporary Blue Fabric Chair
244,Modern Bed,Bed,Glass,White,Modern,39764.35,4.7,Modern White Glass Bed
245,Vintage Table,Table,Leather,Brown,Industrial,24196.59,2.6,Industrial Brown Leather Table
246,Vintage Chair,Chair,Glass,Black,Vintage,14387.61,4.5,Vintage Black Glass Chair
247,Minimalist Bed,Bed,Fabric,Brown,Vintage,48712.46,3.7,Vintage Brown Fabric Bed
248,Vintage Bed,Bed,Leather,Grey,Modern,36626.98,2.7,Modern Grey Leather Bed
249,Contemporary Wardrobe,Wardrobe,Leather,Grey,Vintage,6027.3,3.3,Vintage Grey Leather Wardrobe
250,Vintage Table,Table,Fabric,Beige,Minimalist,9165.59,3.6,Minimalist Beige Fabric Table
251,Modern Bed,Bed,Glass,Beige,Minimalist,14453.21,5.0,Minimalist Beige Glass Bed
252,Modern Sofa,Sofa,Fabric,Grey,Industrial,40253.7,4.2,Industrial Grey Fabric Sofa
253,Contemporary Sofa,Sofa,Leather,Blue,Minimalist,2705.15,2.7,Minimalist Blue Leather Sofa
254,Vintage Table,Table,Fabric,Beige,Modern,30649.65,4.2,Modern Beige Fabric Table
255,Vintage Table,Table,Fabric,Black,Industrial,7747.06,3.4,Industrial Black Fabric Table
256,Vintage Table,Table,Metal,Black,Modern,37048.07,3.7,Modern Black Metal Table
257,Industrial Bed,Bed,Wood,Grey,Vintage,35497.85,3.0,Vintage Grey Wood Bed
258,Vintage Wardrobe,Wardrobe,Fabric,White,Modern,7650.69,2.7,Modern White Fabric Wardrobe
259,Minimalist Chair,Chair,Wood,Blue,Vintage,33724.15,4.3,Vintage Blue Wood Chair
260,Industrial Wardrobe,Wardrobe,Glass,Grey,Contemporary,35878.65,4.8,Contemporary Grey Glass Wardrobe
261,Vintage Chair,Chair,Leather,White,Modern,49271.49,4.5,Modern White Leather Chair
262,Minimalist Chair,Chair,Wood,Grey,Industrial,29041.59,3.7,Industrial Grey Wood Chair
263,Contemporary Wardrobe,Wardrobe,Leather,Black,Modern,16155.25,5.0,Modern Black Leather Wardrobe
264,Industrial Bed,Bed,Fabric,Brown,Industrial,4613.78,4.9,Industrial Brown Fabric Bed
265,Minimalist Sofa,Sofa,Fabric,Blue,Industrial,17881.22,4.7,Industrial Blue Fabric Sofa
